시/도,구,단지명,URL,전용면적,평수,층,시군구,실거래가,매매_계약일자,매매최고가,갭투자구분,갭투자금액,전세가율,전세가,전세_계약일자
서울특별시,강남구,래미안대치팰리스 ( 2015년),https://new.land.naver.com/complexes/107916,94.49㎡,,6층,강남구 대치동,36억1천500,2024.03.05,40억5천,전세낀매수,18억1천500,49,18억,2023.12.26
서울특별시,강남구,한보미도맨션1 ( 1983년),https://new.land.naver.com/complexes/105,128.01㎡,46평,14층,강남구 대치동,34억,2024.02.08,41억4천,전세낀매수,19억3천,43,14억7천,2023.12.01
서울특별시,강남구,래미안블레스티지 ( 2019년),https://new.land.naver.com/complexes/112228,99.991㎡,40B평,3층,강남구 개포동,32억,2024.03.12,37억3천,전세낀매수,18억,43,14억,2023.07.12
서울특별시,강남구,테헤란아이파크 ( 2014년),https://new.land.naver.com/complexes/104032,118.0315㎡,44평,11층,강남구 역삼동,32억,2024.01.10,33억8천,매수후전세,15억,53,17억,2024.01.15
서울특별시,강남구,도곡렉슬 ( 2006년),https://new.land.naver.com/complexes/11698,119.8906㎡,43C평,3층,강남구 도곡동,30억5천,2024.03.04,33억7천,전세낀매수,9억5천,68,21억,2022.06.09
서울특별시,강남구,"쌍용대치아파트1동,2동,3동,5동,6동 ( 1983년)",,128.03㎡,,14층,강남구 대치동,30억,2024.02.28,32억,전세낀매수,19억,36,11억,2023.11.02
서울특별시,강남구,롯데캐슬프레미어 ( 2007년),https://new.land.naver.com/complexes/18967,121.931㎡,43평,13층,강남구 삼성동,30억,2024.01.23,33억,전세낀매수,16억,46,14억,2023.08.03
서울특별시,강남구,래미안도곡카운티 ( 2016년),https://new.land.naver.com/complexes/100559,106.39㎡,40A평,2층,강남구 도곡동,29억,2024.03.13,34억4천,전세낀매수,6억,79,23억,2021.10.27
서울특별시,강남구,개포우성2 ( 1984년),https://new.land.naver.com/complexes/770,84.69㎡,,3층,강남구 대치동,28억7천,2024.01.26,29억9천200,전세낀매수,17억7천,38,11억,2022.12.03
서울특별시,강남구,대치아이파크 ( 2008년),https://new.land.naver.com/complexes/19418,84.95㎡,,12층,강남구 대치동,28억4천500,2024.02.29,28억6천,전세낀매수,14억4천500,49,14억,2023.01.31
서울특별시,강남구,청담자이 ( 2011년),https://new.land.naver.com/complexes/1081,82.365㎡,33B평,5층,강남구 청담동,28억4천,2024.02.13,30억7천,전세낀매수,12억4천,56,16억,2023.10.18
서울특별시,강남구,도곡렉슬 ( 2006년),https://new.land.naver.com/complexes/11698,84.9984㎡,,20층,강남구 도곡동,28억2천,2024.01.19,32억,전세낀매수,19억7천,30,8억5천,2023.12.10
서울특별시,강남구,디에이치아너힐즈 ( 2019년),https://new.land.naver.com/complexes/113151,84.357㎡,,7층,강남구 개포동,28억,2024.03.05,28억7천300,전세낀매수,11억2천,60,16억8천,2022.08.13
서울특별시,강남구,래미안대치하이스턴 ( 1989년),https://new.land.naver.com/complexes/972,110.39㎡,,13층,강남구 대치동,28억,2024.02.14,30억,매수후전세,12억5천,55,15억5천,2024.02.21
서울특별시,강남구,한보미도맨션2 ( 1985년),https://new.land.naver.com/complexes/105,84.96㎡,34평,6층,강남구 대치동,27억7천,2024.02.17,27억4천,전세낀매수,19억8천250,28,7억8천750,2023.08.31
서울특별시,강남구,한보미도맨션1 ( 1983년),https://new.land.naver.com/complexes/105,84.48㎡,34평,10층,강남구 대치동,27억3천,2024.01.26,29억,전세낀매수,18억8천,31,8억5천,2023.12.16
서울특별시,강남구,역삼자이 ( 2016년),https://new.land.naver.com/complexes/109227,114.019㎡,45B평,3층,강남구 역삼동,26억9천,2024.02.14,33억8천,전세낀매수,12억2천500,54,14억6천500,2022.09.26
서울특별시,강남구,e-편한세상 ( 2005년),https://new.land.naver.com/complexes/14671,84.991㎡,32B평,11층,강남구 역삼동,26억3천,2024.02.20,26억4천900,전세낀매수,15억3천,41,11억,2023.06.26
서울특별시,강남구,개나리푸르지오 ( 2006년),https://new.land.naver.com/complexes/17528,84.6815㎡,33A평,9층,강남구 역삼동,26억3천,2024.01.30,23억,전세낀매수,13억8천,47,12억5천,2023.06.12
서울특별시,강남구,삼성청담아파트 ( 1999년),https://new.land.naver.com/complexes/3064,129.16㎡,49평,12층,강남구 청담동,26억2천,2024.01.26,17억9천,전세낀매수,11억5천,56,14억7천,2023.08.09
서울특별시,강남구,개포래미안포레스트 ( 2020년),https://new.land.naver.com/complexes/119219,84.83㎡,34B평,16층,강남구 개포동,26억,2024.02.06,29억7천,전세낀매수,12억3천500,52,13억6천500,2022.09.27
서울특별시,강남구,테헤란아이파크 ( 2014년),https://new.land.naver.com/complexes/104032,92.6232㎡,35평,13층,강남구 역삼동,24억3천,2024.01.15,31억9천,전세낀매수,10억5천,56,13억8천,2022.10.10
서울특별시,강남구,테헤란아이파크 ( 2014년),https://new.land.naver.com/complexes/104032,70.8333㎡,,17층,강남구 역삼동,24억2천,2024.02.18,24억9천,전세낀매수,13억3천850,44,10억8천150,2022.05.06
서울특별시,강남구,역삼푸르지오 ( 2006년),https://new.land.naver.com/complexes/14142,84.9097㎡,31평,10층,강남구 역삼동,24억,2024.02.28,27억3천,전세낀매수,12억5천,47,11억5천,2024.02.24
서울특별시,강남구,"대치우성아파트1동,2동,3동,5동,6동,7동 ( 1984년)",,84.69㎡,,6층,강남구 대치동,24억,2024.01.29,25억9천,전세낀매수,17억5천,27,6억5천,2023.04.29
서울특별시,강남구,"쌍용대치아파트1동,2동,3동,5동,6동 ( 1983년)",,83.56㎡,,12층,강남구 대치동,24억,2024.01.12,27억9천,전세낀매수,16억3천,32,7억7천,2023.11.15
서울특별시,강남구,테헤란아이파크 ( 2014년),https://new.land.naver.com/complexes/104032,84.641㎡,32평,10층,강남구 역삼동,23억9천,2024.03.12,28억,전세낀매수,11억9천,50,12억,2023.07.31
서울특별시,강남구,e-편한세상 ( 2005년),https://new.land.naver.com/complexes/14671,84.675㎡,32A평,10층,강남구 역삼동,23억9천,2024.02.07,24억9천,전세낀매수,12억5천,47,11억4천,2022.02.23
서울특별시,강남구,래미안그레이튼 ( 2009년),https://new.land.naver.com/complexes/394,84.97㎡,34평,4층,강남구 역삼동,23억4천,2024.01.25,25억4천500,매수후전세,11억7천,50,11억7천,2024.03.14
서울특별시,강남구,역삼자이 ( 2016년),https://new.land.naver.com/complexes/109227,84.993㎡,,9층,강남구 역삼동,23억3천,2024.01.13,28억,전세낀매수,9억9천,57,13억4천,2023.12.02
서울특별시,강남구,래미안도곡카운티 ( 2016년),https://new.land.naver.com/complexes/100559,71.85㎡,29평,7층,강남구 도곡동,23억,2024.03.22,23억5천,전세낀매수,7억,69,16억,2021.12.23
서울특별시,강남구,역삼래미안 ( 2005년),https://new.land.naver.com/complexes/13814,80.87㎡,33평,4층,강남구 역삼동,23억,2024.02.04,27억9천500,전세낀매수,12억,47,11억,2023.10.06
서울특별시,강남구,우성사원5 ( 1986년),,78.99㎡,29평,7층,강남구 도곡동,22억9천,2024.01.06,24억5천,전세낀매수,17억,25,5억9천,2023.05.30
서울특별시,강남구,개포주공6단지 ( 1983년),https://new.land.naver.com/complexes/1303,73.02㎡,28평,4층,강남구 개포동,22억7천,2024.03.01,27억,전세낀매수,17억9천,21,4억8천,2023.11.11
서울특별시,강남구,개포주공7단지 ( 1983년),https://new.land.naver.com/complexes/1307,73.26㎡,30평,15층,강남구 개포동,22억7천,2024.02.22,26억5천,전세낀매수,17억7천,22,5억,2024.01.22
서울특별시,강남구,한신(개포) ( 1985년),https://new.land.naver.com/complexes/408,59.48㎡,25평,7층,강남구 도곡동,22억5천,2024.01.11,23억2천500,전세낀매수,17억5천,22,5억,2024.01.06
