시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강남구,래미안대치팰리스(국평),https://new.land.naver.com/complexes/107916,2015.09.22.,"1,278세대(장기전세 20세대 포함, 총13동)",39억3천,28억2천,39억3천,40억5천,3,2건,0건,23억,57,21억9천,11건
서울특별시,강남구,디에이치자이개포(국평),https://new.land.naver.com/complexes/121971,2021.07.30.,"1,996세대(장기전세 306세대 포함, 총15동)",33억3천,23억5천,31억9천,32억,-3,50건,0건,17억,49,14억6천,15건
서울특별시,강남구,도곡렉슬(국평),https://new.land.naver.com/complexes/11698,2006.01.27.,"3,002세대(34동)",34억4천500,23억5천,33억5천,31억5천,-8,17건,0건,16억5천,46,15억9천,5건
서울특별시,강남구,래미안블레스티지(국평),https://new.land.naver.com/complexes/112228,2019.02.26.,"1,957세대(기타임대 112세대 포함, 총23동)",33억,24억,31억3천,28억,-15,73건,0건,15억,43,14억,41건
서울특별시,강남구,개포래미안포레스트(국평),https://new.land.naver.com/complexes/119219,2020.09.28.,"2,296세대(기타임대 120세대 포함, 총31동)",29억7천,21억1천500,28억5천,27억9천,-6,58건,0건,15억,47,13억,45건
서울특별시,강남구,은마(국평),https://new.land.naver.com/complexes/236,1979.08.30.,"4,424세대(28동)",29억5천,21억,28억,27억3천,-7,57건,0건,11억2천,36,6억5천,175건
서울특별시,강남구,래미안블레스티지(소형),https://new.land.naver.com/complexes/112228,2019.02.26.,"1,957세대(기타임대 112세대 포함, 총23동)",24억,16억7천400,24억,21억9천800,-8,27건,0건,13억,48,10억4천,48건
서울특별시,강남구,도곡렉슬(소형),https://new.land.naver.com/complexes/11698,2006.01.27.,"3,002세대(34동)",24억9천,16억,22억,21억9천,-12,15건,0건,22억5천,80,10억2천,15건
서울특별시,강남구,개포래미안포레스트(소형),https://new.land.naver.com/complexes/119219,2020.09.28.,"2,296세대(기타임대 120세대 포함, 총31동)",23억6천,15억8천,21억8천,21억7천,-8,63건,0건,11억,45,9억4천,65건
서울특별시,강동구,래미안솔베뉴(국평),https://new.land.naver.com/complexes/113432,2019.06.24.,"1,900세대(기타임대 156세대 포함, 총13동)",18억,14억2천500,0,17억5천,-2,11건,0건,8억5천,45,8억5천,1건
서울특별시,강동구,고덕그라시움(국평),https://new.land.naver.com/complexes/113907,2019.09.27.,"4,932세대(공공임대 140세대 포함, 총53동)",20억4천,12억2천500,18억3천900,17억,-16,64건,0건,10억,45,8억,22건
서울특별시,강동구,고덕 아이파크(국평),https://new.land.naver.com/complexes/25874,2011.12.28.,"1,142세대(장기전세 128세대 포함, 총14동)",16억2천,11억,0,16억8천,3,12건,0건,8억,46,7억,8건
서울특별시,강동구,래미안힐스테이트고덕(국평),https://new.land.naver.com/complexes/108187,2016.12.29.,"3,658세대(기타임대 211세대 포함, 총51동)",17억3천,10억8천,16억3천,15억9천,-8,60건,0건,11억,50,7억3천,17건
서울특별시,강동구,고덕아르테온(국평),https://new.land.naver.com/complexes/119341,2020.02.26.,"4,066세대(기타임대 108세대 포함, 총41동)",19억8천,10억8천,13억,15억8천,-20,116건,1건,9억,45,7억4천,14건
서울특별시,강동구,고덕자이(국평),"https://new.land.naver.com/complexes?ms=37.5653,127.1561,16&e=RETAIL",2021.01.07.,"1,824세대(기타임대 75세대 포함, 총19동)",15억9천500,9억3천,15억3천500,15억2천900,-4,37건,0건,8억3천,50,7억7천,17건
